1,Goze Hotaru,"Mar 19, 2024 to ?",Chapter 21,Publishing,"""After losing her mother early on, Hotaru, a girl surrounded by warmth and tranquility, finds her life taking a dramatic turn. An unexpected event draws her into the world of “Goze,” setting her on a path through unknown lands with music as her guide. Armed with her talent and a heart full of questions, she embarks on a quest, seeking her missing father and her true calling...!""",716,white,https://img.mangakakalot.to/_r/300x400/100/ea/86/ea866ff9b2df72a0ea8a6ed95c88b27c/ea866ff9b2df72a0ea8a6ed95c88b27c.jpg,,,,,,,,
2,ANKOKU Delta,"Mar 11, 2024 to ?",Chapter 19,Publishing,"""In the otherworldly city of Delta, its grotesque residents sustain themselves by consuming human energy...! This gritty, action-packed tale marks the first full series from the up-and-coming talent who captivated audiences with the one-shots “Death Salmon Hunter” and “Composter Funeral”!""",2711,white,https://img.mangakakalot.to/_r/300x400/100/8d/8f/8d8f602de09e522c1cd435780aa5171b/8d8f602de09e522c1cd435780aa5171b.jpg3,Set it and Forget it,"Feb 29, 2024 to ?",Chapter 9,Finished,"""At 25, Fuko’s true love isn’t romance; it’s food. Her path to cooking begins with a lucky bingo win—a nifty rice cooker! But with her kitchen occupied by her pet hermit crab, Hikki, Fuko has to get creative... Cooking with only a rice cooker?! Challenge accepted! Join Fuko as she steams ahead in this lazy gourmet adventure!""",2334,white,https://img.mangakakalot.to/_r/300x400/100/24/cb/24cb4dbc649e7cac93cb5daea89e208e/24cb4dbc649e7cac93cb5daea89e208e.jpg
3,Set it and Forget it,"Feb 29, 2024 to ?",Chapter 9,Finished,"""At 25, Fuko’s true love isn’t romance; it’s food. Her path to cooking begins with a lucky bingo win—a nifty rice cooker! But with her kitchen occupied by her pet hermit crab, Hikki, Fuko has to get creative... Cooking with only a rice cooker?! Challenge accepted! Join Fuko as she steams ahead in this lazy gourmet adventure!""",2334,white,https://img.mangakakalot.to/_r/300x400/100/24/cb/24cb4dbc649e7cac93cb5daea89e208e/24cb4dbc649e7cac93cb5daea89e208e.jpg,,,,,,,,
4,The World of SKK Girls,"Feb 23, 2024 to ?",Chapter 13,Publishing,"""In a mysterious world devoid of humans, Katana, Saya, and Kodachi are three inseparable friends. Their days are filled with laughter and games in the eerie quiet. But beneath this calm, an obscure presence lurks in the shadows…?! From the creator of “Muto to Sato,” Akatsuka-sensei, comes a new, uncharted adventure—innocence meets mystery in a world unknown!""",448,white,https://img.mangakakalot.to/_r/300x400/100/99/3b/993b02908e6de912b476e5172a23b62b/993b02908e6de912b476e5172a23b62b.jpg,,,,,,,,
5,Super Psychic Policeman Chojo,"Feb 11, 2024 to ?",Chapter 24,Publishing,"""The creator of Samon the Summoner returns to Jump with a new series about a super-powered policeman! In Chinjuku, the city that never sleeps, there is a psychic senior police officer who has powers beyond human comprehension! His name is Meguru Chojo! Along with his judo expert partner Nao Ippongi, this hilarious duo will keep the streets clean by any means necessary!""",1852,white,https://img.mangakakalot.to/_r/300x400/100/48/3d/483d7d3868775086b0645349eedb4b0c/483d7d3868775086b0645349eedb4b0c.jpg,,,,,,,,
6,Thermae Romae redux,"Feb 5, 2024 to ?",Chap 5                        [EN],Publishing,"""The year is 158 AD, and the Roman Empire thrives under the 20th year of Emperor Antoninus Pius’s reign. Lucius, a Roman bathhouse architect, is now sixty years old and plagued with back pain. His wife Satsuki has mysteriously disappeared, his son, Marius, is beyond comprehension...and to top it off, he still has the Roman bathhouses to worry about!20 years after the end of the series, Lucius now 60 years old in the year 158 AD has undergone a midlife crisis and his wife from present day Japan Satsuki disappeared leaving him with his now adult son who never understands him. As he deals with more problems with his life, Lucius once again is transported to modern-day Japan through a bathhouse, leaving him with more adventures that await him.""",512,white,https://img.mangakakalot.to/_r/300x400/100/7b/c1/7bc1f03414b90ac8ecb574deafafb19c/7bc1f03414b90ac8ecb574deafafb19c.jpg,,,,,,,,
7,Astro Baby,"Feb 1, 2024 to ?",Chap 17                        [EN],Publishing,"""The remote town of North Hill has been quarantined to prevent the spread of the mysterious Couper disease that is turning people into cannibals. Young soldier Billy returns to his hometown for the first time in six years for the woman he loves, but what horrors will be awaiting him...?""",3582,white,https://img.mangakakalot.to/_r/300x400/100/da/f3/daf319c7f106fe7794235ff34aee8996/daf319c7f106fe7794235ff34aee8996.jpg,,,,,,,,
8,Girl meets Rock!,"Jan 14, 2024 to ?",Chap 15                        [EN],Publishing,"""With a passion for richly textured Japanese rock, first-year high school student Chihiro Hatono steps into the world of the light music club, new guitar in tow. But what awaits her behind those doors...? A drama of unfiltered youth and musical ambition takes the stage!""",1260,white,https://img.mangakakalot.to/_r/300x400/100/80/93/809346edc15aa3e1991209df12cc6d8b/809346edc15aa3e1991209df12cc6d8b.jpg,,,,,,,,
9,Kaiju No. 8: B-Side,"Jan 5, 2024 to ?",Chap 12                        [EN],Publishing,"""Front-line stories of the Defense Force not covered in the main series!""",34241,white,https://img.mangakakalot.to/_r/300x400/100/c0/19/c019267cc1f7d80c59d61178422efc18/c019267cc1f7d80c59d61178422efc18.jpg,,,,,,,,
10,The God Before Me,"Dec 25, 2023 to ?",Chap 18                        [EN],Publishing,"""Lately, Odachi has been struggling with a lack of confidence in his play. Since his debut match, where he faced off against the “God” of shogi, something has changed within him. Will the day come when he can surpass the God of his generation? A tale of a self-proclaimed average shogi player, his friends, peers, and rivals, and the God before him.""",2396,white,https://img.mangakakalot.to/_r/300x400/100/d6/45/d64557b3b5f60347a05c624082ed7329/d64557b3b5f60347a05c624082ed7329.jpg,,,,,,,,
11,Shadow Eliminators,"Dec 3, 2023 to ?",Chap 19                        [EN],Finished,"""Kasane are spirits who latch onto the shadows of people's hearts. But as long as Yayoi and Aoba are around, evil spirits won't be hurting any students at the school! Beautiful art and occult action! The door to the unknown has now been opened...""",5009,white,https://img.mangakakalot.to/_r/300x400/100/01/57/0157559d076b0591c742cfd4b9d46953/0157559d076b0591c742cfd4b9d46953.jpg,,,,,,,,
12,Green Green Greens,"Nov 26, 2023 to ?",Chap 26                        [EN],Finished,"""Haku Yaesaki is a bored high school student with no direction in life. Right as he starts noticing how all his friends have dreams they are striving for, he meets pro golfer hopeful Nadeshiko Oga and his empty life begins to change. Now, it's time to find a whole new you as this golfing adventure tees off!""",4475,white,https://img.mangakakalot.to/_r/300x400/100/22/1e/221edaeab25d4979bbe51391dbc7111e/221edaeab25d4979bbe51391dbc7111e.jpg,,,,,,,,
13,At Summer’s End,"Nov 26, 2023 to ?",Chap 16                        [EN],Publishing,"""Natsukawa, a member of the beautification committee, often finds her gaze lingering on her schoolmate Aihara. One fateful day off, she spots Aihara walking alongside another girl... As summer’s heat stirs the air, a delicate tale of first love begins to take shape...""",434,white,https://img.mangakakalot.to/_r/300x400/100/ca/f8/caf89c0772ed36e848c1294e6c6f3f2f/caf89c0772ed36e848c1294e6c6f3f2f.jpg,,,,,,,,
14,Dogsred,"Nov 6, 2023 to ?",Chap 31                        [EN],Publishing,"""The stage is the proud land of the north--Hokkaido. The year is 2010. Rou Shirakawa has just received the highest score in history at the All-Japan Junior Figure Skating Championships! But suddenly, he loses control and starts destroying the stage. He is quickly disqualified and banned from the skating world for life. Now nicknamed ""the Rabid Prince,"" Rou ends up in Tamakomai, an ice hockey town in northern Japan. And on a hockey rink on a frozen lake, he meets the ruthless Genma brothers! Rou will soon learn of the famous Oino-kami high school and their quest to win an unprecedented 20th straight national hockey championship. And also the strong, yet beautiful battle sport--ice hockey! Change, grow, evolve! Turn defeat into victory in this red-hot redemption story!""",2629,white,https://img.mangakakalot.to/_r/300x400/100/9b/7a/9b7a285b93777df13ecc58231a1a453a/9b7a285b93777df13ecc58231a1a453a.jpg,,,,,,,,
15,Witch Enforcer,"Oct 26, 2023 to ?",Chap 15                        [EN],Publishing,"""Witches who defy the law must face judgment. 150 years ago, witches descended from the moon, and ever since, this country has promoted and fostered a deep bond between them and its people. However, not all witches abide by the law. Chosen from their own ranks, an “Enforcer” brings them to justice. Among them is Witch Natalia, who one day encounters a boy afflicted by a curse...?!""",2192,white,https://img.mangakakalot.to/_r/300x400/100/f5/00/f500cda3acf3018e8d8fce1cac9da6aa/f500cda3acf3018e8d8fce1cac9da6aa.jpg,,,,,,,,
16,"Hope You're Happy, Lemon","Oct 14, 2023 to ?",Chap 36                        [EN],Publishing,"""""I've been cheating on you. Oh, and it's not just one guy. It's three. Sorry about that."" Back in middle school, Akiyoshi Sunao's first-ever girlfriend shattered his heart, and he swore off love. However, all that changes when he develops a crush on a girl in his university's film club. Just as he's finally beginning to move on from the past, he bumps into his ex-girlfriend. Little does he know that this is only the beginning... To his horror, he wakes up in her body the next morning!""",36864,white,https://img.mangakakalot.to/_r/300x400/100/91/62/91629f49443b783ef344422b354be944/91629f49443b783ef344422b354be944.jpg,,,,,,,,
17,Magical Girl Tsubame: I Will (Not) Save the World!,"Oct 6, 2023 to ?",Chap 38                        [EN],Publishing,"""The world is in danger! Who will rise to protect it? Introducing Tsubame, an ordinary high school student who dreams of becoming a magical girl. But if she has to choose between the world and her friends... A new adventure from Mapollo 3, the creator of PPPPPP! Buckle up for some passion, magical girls, and a dash of madness!""",1249,white,https://img.mangakakalot.to/_r/300x400/100/b9/dd/b9dd58e0fc71fc9a2560bf806b61d17b/b9dd58e0fc71fc9a2560bf806b61d17b.jpg,,,,,,,,
18,Rugby Rumble,"Sep 28, 2023 to ?",Chap 37                        [EN],Publishing,"""The Japan under-15 rugby team—nicknamed the Perfect Squad—shattered the power balance of high school rugby after sweeping the world cup. With so many former Perfect Squad members in their home prefecture, Rikuzen High’s rugby team has given up all hope of victory and now takes a laid-back approach to training. Enter first-year and rugby novice Kinzan Yamada. He may be new, but he’s ready for the world of rugby. The question is whether they’re ready for him...""",11153,white,https://img.mangakakalot.to/_r/300x400/100/e0/7d/e07d88287707887d2685c2b29bb1d7e6/e07d88287707887d2685c2b29bb1d7e6.jpg,,,,,,,,
19,Daddy and Buddy,"Sep 19, 2023 to ?",Chap 20                        [EN],Publishing,"""Tanaka, a father of three and a gymnastics school instructor, suddenly finds himself on the brink of unemployment. Amidst this turmoil, a familiar figure appears before him to save the day…and it’s the popular children’s show host, “Gymnastics Buddy,” Asato?! What’s more, he can exterminate the mysterious “bugs” that only Tanaka has been able to see since childhood?! Hold your breath as Tanaka takes a daring vault into an unforeseen twist of fate!""",898,white,https://img.mangakakalot.to/_r/300x400/100/ed/7d/ed7d43acc820ba434fd86fdc696fabbb/ed7d43acc820ba434fd86fdc696fabbb.jpg,,,,,,,,
20,Kagurabachi,"Sep 17, 2023 to ?",Chap 47                        [EN],Publishing,"""Young Chihiro spends his days training under his famous swordsmith father. One day he hopes to become a great sword-maker himself. The goofy father and the serious son--they thought these days would last forever. But suddenly, tragedy strikes. A dark day soaked in blood. Chihiro and his blade now live only for revenge. Epic sword battle action!""",628276,white,https://img.mangakakalot.to/_r/300x400/100/c1/52/c152ef4b1f6136e630319a5d49cc310c/c152ef4b1f6136e630319a5d49cc310c.jpg,,,,,,,,
21,Diasporaiser,"Sep 15, 2023 to ?",Chap 15                        [EN],Publishing,"""On an Earth rampant with malevolent aliens, a mysterious young boy and a stern old man cross paths in a curious twist of fate...In a universe where magic reigns supreme as the ultimate form of military might, their epic adventure begins!""",1292,white,https://img.mangakakalot.to/_r/300x400/100/53/7d/537d6bb6f4eb24ffa8aaf0dc78b84596/537d6bb6f4eb24ffa8aaf0dc78b84596.jpg,,,,,,,,
22,Boruto: Two Blue Vortex,"Aug 21, 2023 to ?",Chap 13                        [EN],Publishing,"""With everyone's memories having been altered, Boruto finds himself being hunted by his own village. After escaping with Sasuke, what future awaits Boruto...?""",1269565,white,https://img.mangakakalot.to/_r/300x400/100/81/e2/81e28683f4f8a7a2e833ba71e5898924/81e28683f4f8a7a2e833ba71e5898924.jpg,,,,,,,,
23,History’s Mentalist,"Aug 13, 2023 to ?",Chap 16                        [EN],Publishing,"""In a world reshaped by coronavirus, everything around grad student Sakutaro seems to have changed...except for himself. But the gears of history start to turn when Buddha’s emissary suddenly appoints him as ‘History’s Mentalist’! While taken aback by the unexpected flaws of the great historical figures he encounters, Sakutaro begins to (hopefully) reexamine himself in the face of their earnest endeavors... Can he survive the challenges of both the past and the present?!""",1453,white,https://img.mangakakalot.to/_r/300x400/100/15/50/1550d74a5ad5f5a4b6f04a6380164c2b/1550d74a5ad5f5a4b6f04a6380164c2b.jpg,,,,,,,,
24,Mikane and The Sea Woman,"Jul 27, 2023 to ?",Chap 29                        [EN],Publishing,"""It's not like I don’t belong here… One year ago, a young boy named Mikane moved back to a small island in Kyushu. The locals are warm, his father is brusque yet kind, and he has a good friend who worries for him. Despite having so much, Mikane feels dissatisfied and lonely. Then, one day, he saves a mysterious, beautiful woman from the sea. His meeting with this “onee-san” will drastically change his destiny!!""",6214,white,https://img.mangakakalot.to/_r/300x400/100/7b/61/7b61d7267d07a7b3026f9a69b06c8ef6/7b61d7267d07a7b3026f9a69b06c8ef6.jpg,,,,,,,,
25,Red Cat Ramen,"Jul 16, 2023 to ?",Chap 115                        [EN],Publishing,"""Meet Tamako, who’s found her way into an interview at a ramen shop run solely by cats. When the feline manager asks if she likes cats, Tamako admits that she’s actually more of a dog person...only to be hired on the spot! But her job description isn’t quite what she expects — rather than serving ramen, she’s now a dedicated cat caretaker...?!""",4239,white,https://img.mangakakalot.to/_r/300x400/100/9f/0e/9f0eb50a80ce2a839c6a9d60d4815869/9f0eb50a80ce2a839c6a9d60d4815869.jpg,,,,,,,,
26,Naruto: The Whorl within the Spiral,16-Jul-23,Chap 1                        [EN],Finished,"""The story of Namikaze Minato (Fourth Hokage), the winner of the world-wide popularity poll project--NARUTOP99! Just how exactly did Minato, the father of Naruto, develop a certain jutsu...?""",96585,white,https://img.mangakakalot.to/_r/300x400/100/00/33/0033150ee82c6fc92f008db68e7f9251/0033150ee82c6fc92f008db68e7f9251.jpg,,,,,,,,
27,Sachi's Records: Sachi's Book of Revelation,"Jul 13, 2023 to ?",Chap 32                        [EN],Publishing,"""‘Humanity’s Judgment’ — a process by which an angel and a demon meticulously pass judgment upon a human, and the final score determines the fate of mankind. But this time, the chosen subject is the incredibly mischievous 6-year-old elementary school student, Sachi Ueno?! Just how will the unconventional living arrangement of an angel, a demon, and a human shape the future of humanity?""",2100,white,https://img.mangakakalot.to/_r/300x400/100/e9/35/e935914a806700b5b0e8316fbb54ade9/e935914a806700b5b0e8316fbb54ade9.jpg,,,,,,,,
28,Wild Strawberry,"Jul 12, 2023 to ?",Chap 29                        [EN],Publishing,"""Plants have evolved. They can now feed on humans and become terrible monsters known as Jinka. Kingo and Kayano do their best to survive in a Tokyo overrun by plants, but when Kayano becomes a Jinka, Kingo will do anything he can to get her back!""",13012,white,https://img.mangakakalot.to/_r/300x400/100/7f/24/7f245fd6439ec5534f0d6d40418292c6/7f245fd6439ec5534f0d6d40418292c6.jpg,,,,,,,,
29,Ice-Head Gill,"Jun 25, 2023 to ?",Chap 20                        [EN],Publishing,"""In the land of ashen snow known as Great Ice, a young man named Gill Sol has been chased from the capital for some reason. On northern Urchin island, Gill uses his axe skills to work for the lord Mela, but someone has come looking for him... Use your axe to defy destiny! The adventure of the ice boy now begins!""",2476,white,https://img.mangakakalot.to/_r/300x400/100/62/c1/62c11cc5b3da385783e686188e4693ce/62c11cc5b3da385783e686188e4693ce.jpg,,,,,,,,
30,Martial Master Asumi,"Jun 18, 2023 to ?",Chap 32                        [EN],Publishing,"""Kawada Sensei, the creator of Hinomaru Sumo, returns to Shonen Jump! Nito is living a quiet high school life while taking care of his disabled grandpa, but thanks to an encounter with a schoolmate striving to be a pro female MMA fighter, his life is about to flip. Sometimes, you just have to fight! This serious MMA story is an all-out battle!""",5010,white,https://img.mangakakalot.to/_r/300x400/100/0c/3b/0c3bd760a8d41d14a9b7ac45dadbd341/0c3bd760a8d41d14a9b7ac45dadbd341.jpg,,,,,,,,
31,Demon Lord Exchange!!,"Jun 10, 2023 to ?",Chap 28                        [EN],Publishing,"""Hero Filina’s party is on the brink of annihilation in the face of a powerful Demon Lord. The almighty demon proposes to spare their lives on one condition - that he may swap bodies with the hero for a year. Atty, a Priest and Filina’s childhood friend, naturally objects to the proposal, but Filina agrees to the terms to protect her companions. Thus begins a new journey for the Demon Lord, naive to the ways of the world, and the quirky group of adventurers, as they set out to vanquish the new Demon Lord once and for all...!!""",5602,white,https://img.mangakakalot.to/_r/300x400/100/99/28/992868fe0a162afb1ca777c923fcaceb/992868fe0a162afb1ca777c923fcaceb.jpg,,,,,,,,
32,My Girlfriend Gives Me Goosebumps!,"May 14, 2023 to ?",Chap 27                        [EN],Publishing,"""Meet Haruka Kawatsuji, a young boy who miraculously survived a fall from his apartment's balcony as a child. Unfortunately, despite his best efforts to find that same thrill in sports and horror movies, he's never quite managed to feel as alive since. However, that may all be about to change in a fateful encounter with one very eccentric girl!""",30949,white,https://img.mangakakalot.to/_r/300x400/100/42/c8/42c8db4e9e4da081f44b5c9432d5a47e/42c8db4e9e4da081f44b5c9432d5a47e.jpg,,,,,,,,
33,Blooming Love,"May 8, 2023 to ?",Chap 34                        [EN],Publishing,"""One day, when I was making school supplies in the art room, a very scary-looking girl was staring at me...!? Crafts girl vs. art boy romantic comedy!!""",19987,white,https://img.mangakakalot.to/_r/300x400/100/f6/14/f61431abb5315221e053a538789d322f/f61431abb5315221e053a538789d322f.jpg,,,,,,,,
34,Do Retry,"May 7, 2023 to Sep 17, 2023",Chap 19                        [EN],Finished,"""In postwar Japan, war orphan Aozora will swing his fists to protect his little sister!""",4366,white,https://img.mangakakalot.to/_r/300x400/100/d9/a5/d9a545d21a577a5863211c51f765762b/d9a545d21a577a5863211c51f765762b.jpg,,,,,,,,
35,Handsome Must Die,"May 6, 2023 to ?",Chap 20                        [EN],Publishing,"""Yuri- a high school student so handsome she has the other girls tripping over their feet and calling her a prince. But behind closed doors, she’s a total idol-fangirl! Her biggest bias? Ryo-kun from the popular group “Handsome Guys”. A chance encounter with Ryo after one of his concerts turns Yuri’s world upside down when she finds herself suddenly thrust into the world of idols- disguised as a guy?! What wayward shenanigans lie ahead in her comedic journey through stardom?""",805,white,https://img.mangakakalot.to/_r/300x400/100/49/88/49889849e9418fde05528fa89931412f/49889849e9418fde05528fa89931412f.jpg,,,,,,,,
36,The Soul Spewing Wielder,"Apr 29, 2023 to ?",Chap 9                        [EN],Publishing,"""One day, a high school boy who just wants to be popular encounters a cute girl being attacked by the spirit of a fallen warrior! He rushes in to save her, only to suddenly lose consciousness…? Check out this explosive occult x battle comedy!!""",743,white,https://img.mangakakalot.to/_r/300x400/100/08/9b/089b31cc5c30e7fbdfb6a5ec6f55ccac/089b31cc5c30e7fbdfb6a5ec6f55ccac.jpg,,,,,,,,
37,VIBRATION MAN,"Apr 19, 2023 to ?",Chap 28                        [EN],Publishing,"""Since the government announced the existence of people with “special powers” 10 years ago, Shindo Susumu has longed for his own amazing abilities. However, he finds himself to be nothing but an average 15-year-old. Then one day, during his high school entrance ceremony, a power finally awakens inside him…but it’s not exactly the kind he’d always hoped for!""",5434,white,https://img.mangakakalot.to/_r/300x400/100/6e/fa/6efa1db683d65b4853ca82551d966884/6efa1db683d65b4853ca82551d966884.jpg,,,,,,,,
38,Tenmaku Cinema,"Apr 10, 2023 to ?",Chap 21                        [EN],Publishing,"""The exciting new series from the creators of Food Wars! Extreme movie-lover Hajime Shinichi and the ghost of the mysterious genius screenwriter Takihiko Tenmaku--their meeting will provide some serious plot twists! It's ready, set, action for this coming-of-age series!""",6213,white,https://img.mangakakalot.to/_r/300x400/100/ca/63/ca635a05fa7fe640850ea357c6e9f1ab/ca635a05fa7fe640850ea357c6e9f1ab.jpg,,,,,,,,
39,Hell's Paradise: Jigokuraku Side Story: Forest of Misfortune,"Apr 8, 2023 to ?",Chap 1                        [EN],Finished,"""Enjoy this special side story to celebrate the launch of the Hell's Paradise anime series! The children of a small village try to take down the stranger who's started living nearby, but he won't die no matter what they do to him!""",22295,white,https://img.mangakakalot.to/_r/300x400/100/e5/71/e571c1c6ef70913b3ca7296a2d794314/e571c1c6ef70913b3ca7296a2d794314.jpg,,,,,,,,
40,Shibatarian,"Apr 7, 2023 to ?",Chap 35                        [EN],Publishing,"""In the spring of my third year of middle school, I found Shibata buried beneath a sakura tree. We watched movies and became fast friends, even planned to make a movie together for the school festival...but no one at school seemed to know him. I will discover Shibata and the whole world will turn into Shibata. This is a story of, by, and for Shibata. Now showing in a theater near you.""",21009,white,https://img.mangakakalot.to/_r/300x400/100/2f/92/2f9202e49015397cb8d4b575cbea0b1a/2f9202e49015397cb8d4b575cbea0b1a.jpg,,,,,,,,
41,Service Wars,"Mar 26, 2023 to ?",Chap 37                        [EN],Finished,"""In a shopping district of closed shutters and turned keys, Ajimaru, a lone Chinese restaurant, bravely faces its impending closure. Everything changes when they serve up a free meal to the starving Nasunosuke, wandering waiter extraordinaire, who might be just what they need to spice up their shop!""",4195,white,https://img.mangakakalot.to/_r/300x400/100/6e/7c/6e7cdae031e4719f94581a46819df783/6e7cdae031e4719f94581a46819df783.jpg,,,,,,,,
42,ONI: Road to be the Mightiest Oni - Episode Zero,"Mar 4, 2023 to ?",Chap 4                        [EN],Publishing,"""ONI: Road to be the Mightiest Oni is a bold adaptation of Momotaro, the Japanese fairytale about a young warrior who travels to Demon Island to confront the Oni (demons or ogres) who terrorize the countryside. ONI dares to look at the other side of this seminal story through the eyes of a diminutive Oni and question the true meaning of justice in a world where humans and monsters live together.""",820,white,https://img.mangakakalot.to/_r/300x400/100/2f/aa/2faa8ecedf6115d3cbd223e70611858e/2faa8ecedf6115d3cbd223e70611858e.jpg,,,,,,,,
43,Jinrui-Shoku: Blight of Man,"Feb 28, 2023 to ?",Chap 37                        [EN],Publishing,"""“You just die one day and turn into a mummy!” Mysterious mummified corpses that people have nicknamed “Mummily-sans” keep being found one after another, causing a lot of fuss. One day, a boy named Seita notices that his friend is acting strangely…?! Don’t miss this thrilling suspense story about an invasion by the unknown!""",6457,white,https://img.mangakakalot.to/_r/300x400/100/7f/f0/7ff0750de5ac522ce1b5c82045254ef9/7ff0750de5ac522ce1b5c82045254ef9.jpg,,,,,,,,
44,Stan for Salvation,"Feb 17, 2023 to ?",Chap 17                        [EN],Publishing,"""Angels descend upon Japan! They’ve come to deliver the Japanese people from demons, who have taken the music industry by storm. But their master plan is to shoot for stardom as idols?! Enjoy Osamu Kozuki’s stupefying new comedy series!""",1173,white,https://img.mangakakalot.to/_r/300x400/100/ff/e8/ffe860aa9d4e61eeb0bd466f9128b96c/ffe860aa9d4e61eeb0bd466f9128b96c.jpg,,,,,,,,
45,Yumeochi: Dreaming of Falling For You,"Feb 4, 2023 to ?",Chap 30                        [EN],Publishing,"""Even in university, Chono is stuck in the past regrets of his high school years. His dull days come to an abrupt end when he comes across a mysterious book... A book that allows him to return and re-do his high school life in his dreams. Follow Chono and the girls of his dreams as they reshape their wasted youths!""",55509,white,https://img.mangakakalot.to/_r/300x400/100/51/0d/510d8f18a53f14c0f41589f55619087e/510d8f18a53f14c0f41589f55619087e.jpg,,,,,,,,
46,Jiangshi X,"Jan 22, 2023 to ?",Chap 34                        [EN],Finished,"""A silent darkness threatens a thousand years of peace... Who can stand up to great evil...and Jiangshi?! Young warriors, become the light that defeats despair! Welcome to this new Chinese battle fantasy series!""",33507,white,https://img.mangakakalot.to/_r/300x400/100/ff/2f/ff2f81bd7b9af238b1d8292da2f3a8d0/ff2f81bd7b9af238b1d8292da2f3a8d0.jpg,,,,,,,,
47,Fabricant 100,"Dec 5, 2022 to ?",Chap 36                        [EN],Publishing,"""There was once a doctor fixated on creating the ""ideal human being."" After the doctor's death, his fabricant creations start attacking humans in order to attain the perfect body. When Ashibi Yao's entire family is murdered by these fabricants, he sets out on a journey of revenge accompanied by the doctor's final creation, Fabricant 100. This dark fairy tale launches only in the pages of Shonen Jump!""",10229,white,https://img.mangakakalot.to/_r/300x400/100/7c/10/7c105a0fae3de4e04decc6246ff8993a/7c105a0fae3de4e04decc6246ff8993a.jpg,,,,,,,,
48,Me and My Gangster Neighbour,"Dec 4, 2022 to ?",Chap 31                        [EN],Publishing,"""The long-awaited new work of Momose Wataru, the author of the highly acclaimed anime ""Romantic Killer"" which is currently airing on Netflix! The story follows Yuuhi, an elementary school student who is home-sitting alone every day. One day, all of a sudden, his neighbor, Mr. Aoi, who lives upstairs, falls in his room leaving a hole in the ceiling. Yuuhi finds out that his neighbor is a cool looking man with a secret side he doesn’t want anyone to know. What does he want to hide so badly? The comedy about a good-looking gangster and a kind-hearted boy and their secret is ready to start!""",4758,white,https://img.mangakakalot.to/_r/300x400/100/64/9a/649ae1e83889c88a2ff02a0c69670a8b/649ae1e83889c88a2ff02a0c69670a8b.jpg,,,,,,,,
49,Ichigoki's Under Control!!,"Nov 28, 2022 to ?",Chap 19                        [EN],Publishing,"""Ichigoki is a regular kid who can't wait to start high school. But an unexpected encounter with the fists of an eastern lowland gorilla that has escaped from the zoo results in his death... He somehow regains consciousness only to discover that he's become a fullmetal-bodied cyborg?! Thus begins cyborg Ichigoki's wacky and aggravating misadventures with Misao, his mad scientist friend from childhood! A coming-of-age, buddy, gag manga from Seiji Hayashi, creator of I'm From Japan and Chikyuu Ningen Tera-chan!""",832,white,https://img.mangakakalot.to/_r/300x400/100/9c/e3/9ce35f16c48063dc75e9314f768a7bfe/9ce35f16c48063dc75e9314f768a7bfe.jpg,,,,,,,,
50,Cipher Academy,"Nov 21, 2022 to ?",Chap 58                        [EN],Publishing,"""Iroha is an average student newly enrolled in Cipher Academy, a Spartan school where students must crack code after code after code with barely enough time to catch their breath! Then a mysterious person named Kogoe gives Iroha an unusual pair of glasses with a crazy secret behind them!""",16712,white,https://img.mangakakalot.to/_r/300x400/100/75/65/7565d11a7e15ab836f34129482bd1f7e/7565d11a7e15ab836f34129482bd1f7e.jpg,,,,,,,,
